"Aquic"|"22552851"|"9226208"
"Aquic"|"22552793"|"9226327"
"Aquic"|"22552794"|"9226329"
"Udic"|"22552795"|"9226328"
"Aquic"|"22552764"|"9226216"
"Aquic"|"22552765"|"9226217"
"Aquic"|"22552913"|"9226248"
"Aquic"|"22552914"|"9226247"
"Udic"|"22552834"|"9226315"
"Udic"|"22552835"|"9226336"
"Aquic"|"22552836"|"9226337"
"Aquic"|"22552837"|"9226314"
"Aquic"|"22552915"|"9226251"
"Aquic"|"22552773"|"9226264"
"Aquic"|"22552774"|"9226265"
"Udic"|"22552921"|"9226269"
"Udic"|"22552923"|"9226268"
"Udic"|"22552871"|"9226273"
"Aquic"|"22552777"|"9226280"
"Aquic"|"22552928"|"9226285"
"Aquic"|"22552930"|"9226286"
"Udic"|"22552878"|"9226291"
"Aquic"|"22552881"|"9226294"
"Aquic"|"22552882"|"9226293"
"Udic"|"22552935"|"9226298"
"Aquic"|"22552833"|"9226305"
