"Clay loam"||"134317370"|"136619398"
"Silty clay loam"||"134317086"|"136618829"
"Clay loam"||"134317597"|"136619039"
"Silty clay loam"||"134317180"|"136619310"
"Silty clay loam"||"134317399"|"136619206"
"Sandy loam"||"134317841"|"136619028"
"Silt loam"||"134317549"|"136619011"
"Silty clay loam"||"134317379"|"136619347"
"Loam"||"134317368"|"136619397"
"Loam"||"134317598"|"136619040"
"Silty clay loam"||"134317845"|"136618532"
"Silty clay loam"||"134317024"|"136618413"
"Sandy loam"||"134317024"|"136618412"
"Fine sandy loam"||"134317392"|"136619256"
"Loam"||"134317819"|"136619001"
"Silty clay loam"||"134317782"|"136618976"
"Silt loam"||"134317815"|"136618666"
"Clay loam"||"134317550"|"136618512"
"Fine sandy loam"||"134317401"|"136619126"
"Clay loam"||"134317786"|"136618475"
"Clay loam"||"134317590"|"136619262"
"Silt loam"||"134317844"|"136618695"
"Loam"||"134317400"|"136619125"
"Silt loam"||"134317838"|"136619025"
"Silt loam"||"134317770"|"136618972"
"Loam"||"134317583"|"136618871"
"Loam"||"134317848"|"136618864"
"Clay loam"||"134317390"|"136619349"
"Silt loam"||"134317812"|"136618669"
"Loam"||"134317171"|"136619401"
"Silt loam"||"134317031"|"136618748"
"Sandy clay loam"||"134317369"|"136619305"
"Loam"||"134317020"|"136618918"
"Loam"||"134317178"|"136619309"
"Silt loam"||"134317811"|"136618503"
"Clay loam"||"134317097"|"136618856"
"Silty clay loam"||"134317785"|"136618979"
"Silt loam"||"134317359"|"136619180"
"Loam"||"134317849"|"136618865"
"Silty clay loam"||"134317579"|"136618704"
"Silty clay loam"||"134317083"|"136618495"
"Sandy loam"||"134317083"|"136618494"
"Silty clay loam"||"134317775"|"136618803"
