"Footslope"|"35281067"|"14726525"
"Shoulder"|"35281035"|"14726590"
"Backslope"|"35281035"|"14726588"
"Footslope"|"35281035"|"14726589"
"Footslope"|"35281109"|"14726717"
"Toeslope"|"35281109"|"14726716"
"Summit"|"35281204"|"14726511"
"Footslope"|"35281172"|"14726696"
"Summit"|"35281193"|"14726681"
"Footslope"|"35281243"|"14726528"
"Summit"|"35281203"|"14726512"
"Footslope"|"35281086"|"14726709"
"Summit"|"35281256"|"14726689"
"Footslope"|"35281034"|"14726718"
"Summit"|"35281110"|"14726591"
"Shoulder"|"35281110"|"14726593"
"Backslope"|"35281110"|"14726592"
"Footslope"|"35281108"|"14726715"
"Toeslope"|"35281108"|"14726714"
"Summit"|"35281249"|"14726521"
"Toeslope"|"35281154"|"14726711"
"Footslope"|"35281238"|"14726703"
"Summit"|"35281105"|"14726583"
"Backslope"|"35281105"|"14726581"
"Footslope"|"35281105"|"14726582"
"Summit"|"35281106"|"14726586"
"Backslope"|"35281106"|"14726584"
"Footslope"|"35281106"|"14726585"
"Shoulder"|"35281157"|"14726522"
"Backslope"|"35281157"|"14726523"
"Summit"|"35281104"|"14726580"
"Backslope"|"35281104"|"14726579"
"Footslope"|"35281104"|"14726578"
"Footslope"|"35281083"|"14726531"
"Shoulder"|"35281156"|"14726613"
"Backslope"|"35281156"|"14726614"
"Footslope"|"35281240"|"14726702"
"Footslope"|"35281158"|"14726524"
"Summit"|"35281112"|"14726597"
"Shoulder"|"35281112"|"14726599"
"Backslope"|"35281112"|"14726598"
"Footslope"|"35281081"|"14726530"
"Summit"|"35281033"|"14726587"
"Summit"|"35281251"|"14726677"
"Footslope"|"35281070"|"14726529"
"Summit"|"35281111"|"14726594"
"Shoulder"|"35281111"|"14726596"
"Backslope"|"35281111"|"14726595"
"Toeslope"|"35281159"|"14726612"
"Summit"|"35281258"|"14726690"
"Backslope"|"35281200"|"14726695"
"Footslope"|"35281107"|"14726713"
"Toeslope"|"35281107"|"14726712"
