"2"|"22552851"|"5062918"
"3"|"22552851"|"5062919"
"2"|"22552794"|"5063032"
"2"|"22552764"|"5062924"
"3"|"22552764"|"5062925"
"2"|"22552765"|"5062926"
"3"|"22552765"|"5062927"
"2"|"22552913"|"5062954"
"3"|"22552913"|"5062955"
"2"|"22552914"|"5062952"
"3"|"22552914"|"5062953"
"2"|"22552837"|"5063027"
"3"|"22552837"|"5063028"
"2"|"22552915"|"5062958"
"3"|"22552915"|"5062959"
"2"|"22552773"|"5062972"
"3"|"22552773"|"5062973"
"2"|"22552774"|"5062974"
"3"|"22552774"|"5062975"
"2"|"22552922"|"5062978"
"3"|"22552922"|"5062979"
"2"|"22552870"|"5062980"
"3"|"22552870"|"5062981"
"2"|"22552872"|"5062982"
"3"|"22552872"|"5062983"
"2"|"22552777"|"5062992"
"2"|"22552929"|"5062995"
"3"|"22552929"|"5062996"
"2"|"22552931"|"5062997"
"3"|"22552931"|"5062998"
"2"|"22552877"|"5063001"
"3"|"22552877"|"5063002"
"2"|"22552883"|"5063005"
"3"|"22552883"|"5063006"
"2"|"22552833"|"5063013"
"3"|"22552833"|"5063014"
