"mixed"|"22552851"|"17790299"
"mixed"|"22552793"|"17790256"
"mixed"|"22552794"|"17790257"
"mixed"|"22552795"|"17790258"
"mixed"|"22552764"|"17790234"
"mixed"|"22552765"|"17790235"
"mixed"|"22552913"|"17790344"
"mixed"|"22552914"|"17790345"
"mixed"|"22552834"|"17790288"
"mixed"|"22552835"|"17790289"
"mixed"|"22552836"|"17790290"
"mixed"|"22552837"|"17790291"
"mixed"|"22552915"|"17790346"
"mixed"|"22552773"|"17790243"
"smectitic"|"22552774"|"17790244"
"mixed"|"22552921"|"17790350"
"mixed"|"22552923"|"17790351"
"mixed"|"22552871"|"17790315"
"mixed"|"22552777"|"17790246"
"mixed"|"22552928"|"17790355"
"mixed"|"22552930"|"17790356"
"mixed"|"22552878"|"17790319"
"mixed"|"22552881"|"17790321"
"mixed"|"22552882"|"17790322"
"mixed"|"22552935"|"17790359"
"mixed"|"22552833"|"17790287"
