"CL-ML"|No |"66692844"|"124302316"
"CL"|Yes|"66692844"|"124302315"
"ML"|No |"66692844"|"124302317"
"CH"|No |"66692432"|"124301241"
"CL"|Yes|"66692432"|"124301242"
"ML"|No |"66692432"|"124301243"
"CL"|No |"66692433"|"124301244"
"ML"|Yes|"66692433"|"124301245"
"CL-ML"|No |"66692434"|"124301247"
"SC-SM"|No |"66692434"|"124301249"
"CL"|Yes|"66692434"|"124301246"
"SC"|No |"66692434"|"124301248"
"SM"|No |"66692434"|"124301250"
"CH"|No |"66692435"|"124301251"
"CL"|Yes|"66692435"|"124301252"
"ML"|No |"66692435"|"124301253"
"CH"|No |"66692436"|"124301254"
"CL"|Yes|"66692436"|"124301255"
"ML"|No |"66692436"|"124301256"
"CH"|Yes|"66692437"|"124301257"
"CL"|No |"66692437"|"124301258"
"CL"|Yes|"66692438"|"124301259"
"ML"|No |"66692438"|"124301260"
"CL-ML"|No |"66692856"|"124302342"
"CL"|Yes|"66692856"|"124302341"
"CH"|No |"66692857"|"124302343"
"CL"|Yes|"66692857"|"124302344"
"CL"|No |"66692858"|"124302345"
"ML"|No |"66692858"|"124302346"
"SC"|Yes|"66692858"|"124302347"
"SM"|No |"66692858"|"124302348"
"CL-ML"|No |"66692859"|"124302350"
"SP-SM"|No |"66692859"|"124302352"
"CL"|No |"66692859"|"124302349"
"SC"|Yes|"66692859"|"124302353"
"SM"|No |"66692859"|"124302351"
"CL-ML"|No |"66692860"|"124302355"
"CL"|Yes|"66692860"|"124302354"
"CH"|No |"66692861"|"124302356"
"CL"|Yes|"66692861"|"124302357"
"CL"|Yes|"66692862"|"124302358"
"CL-ML"|No |"66692863"|"124302360"
"CL"|Yes|"66692863"|"124302359"
"ML"|No |"66692863"|"124302361"
"CL-ML"|No |"66692711"|"124301944"
"CL"|Yes|"66692711"|"124301943"
"CL"|Yes|"66692712"|"124301945"
"ML"|No |"66692712"|"124301946"
"CL-ML"|No |"66692713"|"124301948"
"CL"|Yes|"66692713"|"124301947"
"CL-ML"|No |"66692714"|"124301950"
"CL"|Yes|"66692714"|"124301949"
"CL-ML"|No |"66692715"|"124301953"
"CL"|Yes|"66692715"|"124301952"
"ML"|No |"66692715"|"124301951"
"CL"|Yes|"66692443"|"124301275"
"CL"|Yes|"66692444"|"124301276"
"SC-SM"|No |"66692445"|"124301279"
"CL"|No |"66692445"|"124301277"
"SC"|Yes|"66692445"|"124301278"
"SM"|No |"66692445"|"124301280"
"CL-ML"|No |"66692875"|"124302385"
"CL"|Yes|"66692875"|"124302384"
"CH"|No |"66692876"|"124302386"
"CL"|Yes|"66692876"|"124302387"
"CL-ML"|No |"66692877"|"124302389"
