544|"514667"|"164362"|"30683816"
544|"514666"|"164362"|"30683815"
544|"514665"|"164362"|"30683814"
544|"514664"|"164362"|"30683813"
544|"514663"|"164362"|"30683812"
544|"514662"|"164362"|"30683811"
544|"514661"|"164362"|"30683810"
3727|"514667"|"164338"|"30683757"
3727|"514666"|"164338"|"30683760"
3727|"514665"|"164338"|"30683759"
3727|"514664"|"164338"|"30683758"
3701|"514663"|"164338"|"30683756"
3727|"514662"|"164338"|"30683755"
3727|"514661"|"164338"|"30683754"
25321|"514667"|"164327"|"30683739"
25321|"514666"|"164327"|"30683738"
25321|"514665"|"164327"|"30683737"
25321|"514664"|"164327"|"30683736"
25310|"514663"|"164327"|"30683735"
25321|"514662"|"164327"|"30683734"
25321|"514661"|"164327"|"30683733"
10058|"514667"|"164324"|"30683722"
10058|"514666"|"164324"|"30683725"
10058|"514665"|"164324"|"30683724"
10058|"514664"|"164324"|"30683723"
10053|"514663"|"164324"|"30683721"
10058|"514662"|"164324"|"30683720"
10058|"514661"|"164324"|"30683719"
33676|"514667"|"164315"|"30683697"
33676|"514666"|"164315"|"30683696"
33676|"514665"|"164315"|"30683695"
33676|"514664"|"164315"|"30683694"
33653|"514663"|"164315"|"30683693"
33676|"514662"|"164315"|"30683692"
33676|"514661"|"164315"|"30683691"
3351|"514667"|"164300"|"30683662"
3351|"514666"|"164300"|"30683661"
3351|"514665"|"164300"|"30683660"
3351|"514664"|"164300"|"30683659"
3377|"514663"|"164300"|"30683658"
3351|"514662"|"164300"|"30683657"
3351|"514661"|"164300"|"30683656"
5170|"514667"|"164275"|"30683613"
5170|"514666"|"164275"|"30683612"
5170|"514665"|"164275"|"30683611"
5170|"514664"|"164275"|"30683610"
5168|"514663"|"164275"|"30683609"
5170|"514662"|"164275"|"30683608"
5170|"514661"|"164275"|"30683607"
6191|"514667"|"164263"|"30683585"
6191|"514666"|"164263"|"30683584"
6191|"514665"|"164263"|"30683583"
6191|"514664"|"164263"|"30683582"
6179|"514663"|"164263"|"30683581"
6191|"514662"|"164263"|"30683580"
6191|"514661"|"164263"|"30683579"
1007|"514667"|"164240"|"30683557"
1007|"514666"|"164240"|"30683556"
1007|"514665"|"164240"|"30683555"
1007|"514664"|"164240"|"30683554"
1008|"514663"|"164240"|"30683553"
1007|"514662"|"164240"|"30683552"
1007|"514661"|"164240"|"30683551"
1511|"514667"|"164238"|"30683550"
1511|"514666"|"164238"|"30683549"
1511|"514665"|"164238"|"30683548"
1511|"514664"|"164238"|"30683547"
1507|"514663"|"164238"|"30683546"
1511|"514662"|"164238"|"30683545"
1511|"514661"|"164238"|"30683544"
2060|"514667"|"164156"|"30683466"
2060|"514666"|"164156"|"30683465"
2060|"514665"|"164156"|"30683464"
2060|"514664"|"164156"|"30683463"
2041|"514663"|"164156"|"30683462"
2060|"514662"|"164156"|"30683461"
2060|"514661"|"164156"|"30683460"
3921|"514667"|"164148"|"30683876"
3921|"514666"|"164148"|"30683879"
3921|"514665"|"164148"|"30683878"
3921|"514664"|"164148"|"30683877"
3920|"514663"|"164148"|"30683875"
3921|"514662"|"164148"|"30683874"
3921|"514661"|"164148"|"30683873"
13973|"514667"|"164115"|"30683445"
13973|"514666"|"164115"|"30683444"
13973|"514665"|"164115"|"30683443"
13973|"514664"|"164115"|"30683442"
13957|"514663"|"164115"|"30683441"
13973|"514662"|"164115"|"30683440"
13973|"514661"|"164115"|"30683439"
42114|"514667"|"163953"|"30683242"
42114|"514666"|"163953"|"30683241"
42114|"514665"|"163953"|"30683240"
42114|"514664"|"163953"|"30683239"
42102|"514663"|"163953"|"30683238"
42114|"514662"|"163953"|"30683237"
42114|"514661"|"163953"|"30683236"
14895|"514667"|"163926"|"30683893"
14895|"514666"|"163926"|"30683892"
14895|"514665"|"163926"|"30683891"
14895|"514664"|"163926"|"30683890"
14886|"514663"|"163926"|"30683889"
14895|"514662"|"163926"|"30683888"
14895|"514661"|"163926"|"30683887"
1361|"514667"|"163904"|"30683193"
1361|"514666"|"163904"|"30683192"
1361|"514665"|"163904"|"30683191"
1361|"514664"|"163904"|"30683190"
1361|"514663"|"163904"|"30683189"
1361|"514662"|"163904"|"30683188"
1361|"514661"|"163904"|"30683187"
