0|0|0|0|15|31|"Moist"|"235994412"|"148138216"
0|15|31|183|183|183|"Wet"|"235994412"|"148138215"
0|0|0|0|15|31|"Moist"|"235994413"|"148138217"
0|15|31|183|183|183|"Wet"|"235994413"|"148138218"
0|0|0|0|15|31|"Moist"|"235994423"|"148138225"
0|15|31|183|183|183|"Wet"|"235994423"|"148138226"
0|0|0|0|15|31|"Moist"|"235994416"|"148138223"
0|15|31|183|183|183|"Wet"|"235994416"|"148138224"
0|0|0|0|15|31|"Moist"|"235994414"|"148138219"
0|15|31|183|183|183|"Wet"|"235994414"|"148138220"
0|0|0|0|15|31|"Moist"|"235994415"|"148138221"
0|15|31|183|183|183|"Wet"|"235994415"|"148138222"
0|0|0|15|15|61|"Moist"|"235993728"|"148137874"
61|102|127|200|200|200|"Moist"|"235993728"|"148137876"
15|15|61|61|91|102|"Wet"|"235993728"|"148137875"
0|0|0|15|15|61|"Moist"|"235993729"|"148137877"
61|102|127|200|200|200|"Moist"|"235993729"|"148137878"
15|15|61|61|91|102|"Wet"|"235993729"|"148137879"
61|102|127|200|200|200|"Moist"|"235993730"|"148137881"
0|0|0|15|15|61|"Moist"|"235993730"|"148137880"
15|15|61|61|91|102|"Wet"|"235993730"|"148137882"
0|0|0|46|76|102|"Moist"|"235993731"|"148137883"
61|91|102|200|200|200|"Moist"|"235993731"|"148137884"
46|76|102|61|91|102|"Wet"|"235993731"|"148137885"
0|0|0|46|76|102|"Moist"|"235993732"|"148137886"
61|91|102|200|200|200|"Moist"|"235993732"|"148137887"
46|76|102|61|91|102|"Wet"|"235993732"|"148137888"
0|0|0|46|75|102|"Moist"|"235993733"|"148137889"
61|91|102|200|200|200|"Moist"|"235993733"|"148137890"
46|76|102|61|91|102|"Wet"|"235993733"|"148137891"
102|102|127|200|200|200|"Moist"|"235993734"|"148137892"
102|102|127|200|200|200|"Moist"|"235993735"|"148137893"
102|102|127|200|200|200|"Moist"|"235993736"|"148137894"
0|0|0|46|76|102|"Moist"|"235993737"|"148137895"
61|91|102|200|200|200|"Moist"|"235993737"|"148137896"
46|76|102|61|91|102|"Wet"|"235993737"|"148137897"
0|0|0|46|76|102|"Moist"|"235993738"|"148137898"
61|91|102|200|200|200|"Moist"|"235993738"|"148137899"
46|76|102|61|91|102|"Wet"|"235993738"|"148137900"
61|102|127|200|200|200|"Moist"|"235993739"|"148137902"
0|0|0|15|15|61|"Moist"|"235993739"|"148137901"
15|15|61|61|91|102|"Wet"|"235993739"|"148137903"
0|0|0|25|31|52|"Moist"|"235993750"|"148137921"
52|102|152|102|152|193|"Wet"|"235993750"|"148137922"
0|0|0|25|31|52|"Moist"|"235993749"|"148137919"
52|102|152|102|152|193|"Wet"|"235993749"|"148137920"
0|0|0|102|152|193|"Moist"|"235993748"|"148137918"
0|0|0|102|152|193|"Moist"|"235993747"|"148137917"
0|0|0|102|152|193|"Moist"|"235993746"|"148137916"
0|0|0|25|31|52|"Moist"|"235993745"|"148137914"
52|102|152|102|152|193|"Wet"|"235993745"|"148137915"
0|0|0|30|60|91|"Moist"|"235993744"|"148137913"
30|60|91|102|152|193|"Wet"|"235993744"|"148137912"
0|0|0|15|18|30|"Moist"|"235993743"|"148137910"
15|18|30|102|152|193|"Wet"|"235993743"|"148137911"
0|0|0|0|5|15|"Moist"|"235993751"|"148137923"
0|5|15|102|152|193|"Wet"|"235993751"|"148137924"
0|0|0|0|10|15|"Moist"|"235993742"|"148137908"
0|10|15|102|152|193|"Wet"|"235993742"|"148137909"
0|0|0|0|5|15|"Moist"|"235993740"|"148137904"
0|5|15|102|152|193|"Wet"|"235993740"|"148137905"
0|0|0|0|5|15|"Moist"|"235993741"|"148137906"
0|5|15|102|152|193|"Wet"|"235993741"|"148137907"
0|0|0|61|76|91|"Moist"|"235993760"|"148137943"
76|91|102|200|200|200|"Moist"|"235993760"|"148137945"
61|76|91|76|91|102|"Wet"|"235993760"|"148137944"
0|0|0|61|76|91|"Moist"|"235993755"|"148137928"
76|91|102|200|200|200|"Moist"|"235993755"|"148137930"
61|76|91|76|91|102|"Wet"|"235993755"|"148137929"
0|0|0|61|76|91|"Moist"|"235993758"|"148137938"
76|91|102|200|200|200|"Moist"|"235993758"|"148137939"
61|76|91|76|91|102|"Wet"|"235993758"|"148137937"
0|0|0|61|76|91|"Moist"|"235993756"|"148137931"
76|91|102|200|200|200|"Moist"|"235993756"|"148137933"
61|76|91|76|91|102|"Wet"|"235993756"|"148137932"
0|0|0|76|84|91|"Moist"|"235993763"|"148137952"
76|91|102|200|200|200|"Moist"|"235993763"|"148137954"
76|84|91|76|91|102|"Wet"|"235993763"|"148137953"
0|0|0|76|84|91|"Moist"|"235993762"|"148137950"
76|91|102|200|200|200|"Moist"|"235993762"|"148137951"
76|84|91|76|91|102|"Wet"|"235993762"|"148137949"
0|0|0|200|200|200|"Moist"|"235993753"|"148137926"
0|0|0|200|200|200|"Moist"|"235993752"|"148137925"
0|0|0|200|200|200|"Moist"|"235993754"|"148137927"
0|0|0|76|84|91|"Moist"|"235993761"|"148137947"
76|91|102|200|200|200|"Moist"|"235993761"|"148137948"
76|84|91|76|91|102|"Wet"|"235993761"|"148137946"
0|0|0|76|84|91|"Moist"|"235993759"|"148137941"
76|91|102|200|200|200|"Moist"|"235993759"|"148137942"
76|84|91|76|91|102|"Wet"|"235993759"|"148137940"
0|0|0|61|76|91|"Moist"|"235993757"|"148137934"
76|91|102|200|200|200|"Moist"|"235993757"|"148137936"
61|76|91|76|91|102|"Wet"|"235993757"|"148137935"
0|0|0|0|15|31|"Moist"|"235993392"|"148137657"
0|15|31|183|183|183|"Wet"|"235993392"|"148137658"
0|0|0|0|15|31|"Moist"|"235993393"|"148137659"
0|15|31|183|183|183|"Wet"|"235993393"|"148137660"
0|0|0|0|15|31|"Moist"|"235993394"|"148137661"
0|15|31|183|183|183|"Wet"|"235993394"|"148137662"
0|0|0|0|15|31|"Moist"|"235993403"|"148137667"
0|15|31|183|183|183|"Wet"|"235993403"|"148137668"
0|0|0|0|15|31|"Moist"|"235993396"|"148137665"
0|15|31|183|183|183|"Wet"|"235993396"|"148137666"
0|0|0|0|15|31|"Moist"|"235993395"|"148137663"
0|15|31|183|183|183|"Wet"|"235993395"|"148137664"
0|0|0|0|15|31|"Moist"|"235993404"|"148137669"
0|15|31|183|183|183|"Wet"|"235993404"|"148137670"
0|0|0|0|15|31|"Moist"|"235993405"|"148137671"
0|15|31|183|183|183|"Wet"|"235993405"|"148137672"
0|0|0|0|15|31|"Moist"|"235993406"|"148137673"
0|15|31|183|183|183|"Wet"|"235993406"|"148137674"
0|0|0|0|15|31|"Moist"|"235993415"|"148137679"
0|15|31|183|183|183|"Wet"|"235993415"|"148137680"
0|0|0|0|15|31|"Moist"|"235993408"|"148137677"
0|15|31|183|183|183|"Wet"|"235993408"|"148137678"
0|0|0|0|15|31|"Moist"|"235993407"|"148137675"
0|15|31|183|183|183|"Wet"|"235993407"|"148137676"
0|0|0|0|15|31|"Moist"|"235995149"|"148138519"
0|15|31|183|183|183|"Wet"|"235995149"|"148138520"
0|0|0|0|15|31|"Moist"|"235995150"|"148138521"
0|15|31|183|183|183|"Wet"|"235995150"|"148138522"
0|0|0|0|15|31|"Moist"|"235995151"|"148138523"
0|15|31|183|183|183|"Wet"|"235995151"|"148138524"
0|0|0|0|15|31|"Moist"|"235995160"|"148138529"
0|15|31|183|183|183|"Wet"|"235995160"|"148138530"
0|0|0|0|15|31|"Moist"|"235995153"|"148138527"
0|15|31|183|183|183|"Wet"|"235995153"|"148138528"
0|0|0|0|15|31|"Moist"|"235995152"|"148138525"
0|15|31|183|183|183|"Wet"|"235995152"|"148138526"
0|0|0|0|15|31|"Moist"|"235995161"|"148138531"
0|15|31|183|183|183|"Wet"|"235995161"|"148138532"
0|0|0|0|15|31|"Moist"|"235995162"|"148138533"
0|15|31|183|183|183|"Wet"|"235995162"|"148138534"
0|0|0|0|15|31|"Moist"|"235995163"|"148138535"
0|15|31|183|183|183|"Wet"|"235995163"|"148138536"
0|0|0|0|15|31|"Moist"|"235995172"|"148138541"
0|15|31|183|183|183|"Wet"|"235995172"|"148138542"
0|0|0|0|15|31|"Moist"|"235995165"|"148138539"
0|15|31|183|183|183|"Wet"|"235995165"|"148138540"
0|0|0|0|15|31|"Moist"|"235995164"|"148138537"
0|15|31|183|183|183|"Wet"|"235995164"|"148138538"
107|122|152|203|203|203|"Moist"|"235994208"|"148138076"
0|0|0|61|76|107|"Moist"|"235994208"|"148138077"
61|76|107|107|122|152|"Wet"|"235994208"|"148138078"
107|122|152|203|203|203|"Moist"|"235994214"|"148138090"
0|0|0|61|76|107|"Moist"|"235994214"|"148138091"
61|76|107|107|122|152|"Wet"|"235994214"|"148138092"
107|122|152|203|203|203|"Moist"|"235994219"|"148138103"
0|0|0|61|76|107|"Moist"|"235994219"|"148138104"
61|76|107|107|122|152|"Wet"|"235994219"|"148138105"
107|122|152|203|203|203|"Moist"|"235994212"|"148138086"
0|0|0|61|76|107|"Moist"|"235994212"|"148138087"
61|76|107|107|122|152|"Wet"|"235994212"|"148138088"
107|122|152|203|203|203|"Moist"|"235994215"|"148138093"
0|0|0|107|122|137|"Moist"|"235994215"|"148138094"
107|122|137|107|122|152|"Wet"|"235994215"|"148138095"
107|122|152|203|203|203|"Moist"|"235994218"|"148138100"
0|0|0|107|122|137|"Moist"|"235994218"|"148138101"
107|122|137|107|122|152|"Wet"|"235994218"|"148138102"
0|0|0|203|203|203|"Moist"|"235994213"|"148138089"
0|0|0|203|203|203|"Moist"|"235994216"|"148138096"
0|0|0|203|203|203|"Moist"|"235994209"|"148138079"
107|122|152|203|203|203|"Moist"|"235994211"|"148138084"
0|0|0|107|122|137|"Moist"|"235994211"|"148138085"
107|122|137|107|122|152|"Wet"|"235994211"|"148138083"
107|122|152|203|203|203|"Moist"|"235994217"|"148138098"
0|0|0|107|122|137|"Moist"|"235994217"|"148138099"
107|122|137|107|122|152|"Wet"|"235994217"|"148138097"
0|0|0|61|76|107|"Moist"|"235994210"|"148138082"
107|122|152|203|203|203|"Moist"|"235994210"|"148138081"
61|76|107|107|122|152|"Wet"|"235994210"|"148138080"
0|0|0|61|76|91|"Moist"|"235994230"|"148138130"
76|91|102|200|200|200|"Moist"|"235994230"|"148138131"
61|76|91|76|91|102|"Wet"|"235994230"|"148138132"
76|91|102|200|200|200|"Moist"|"235994231"|"148138134"
0|0|0|61|76|91|"Moist"|"235994231"|"148138135"
61|76|91|76|91|102|"Wet"|"235994231"|"148138133"
0|0|0|61|76|91|"Moist"|"235994229"|"148138128"
76|91|102|200|200|200|"Moist"|"235994229"|"148138129"
61|76|91|76|91|102|"Wet"|"235994229"|"148138127"
76|91|102|200|200|200|"Moist"|"235994220"|"148138106"
0|0|0|61|76|91|"Moist"|"235994220"|"148138107"
61|76|91|76|91|102|"Wet"|"235994220"|"148138108"
76|91|102|200|200|200|"Moist"|"235994228"|"148138125"
0|0|0|76|84|91|"Moist"|"235994228"|"148138126"
76|84|91|76|91|102|"Wet"|"235994228"|"148138124"
0|0|0|76|84|91|"Moist"|"235994221"|"148138110"
76|91|102|200|200|200|"Moist"|"235994221"|"148138111"
76|84|91|76|91|102|"Wet"|"235994221"|"148138109"
0|0|0|200|200|200|"Moist"|"235994227"|"148138123"
0|0|0|200|200|200|"Moist"|"235994223"|"148138115"
0|0|0|200|200|200|"Moist"|"235994224"|"148138116"
0|0|0|76|84|91|"Moist"|"235994226"|"148138122"
76|91|102|200|200|200|"Moist"|"235994226"|"148138121"
76|84|91|76|91|102|"Wet"|"235994226"|"148138120"
0|0|0|76|84|91|"Moist"|"235994222"|"148138113"
76|91|102|200|200|200|"Moist"|"235994222"|"148138114"
76|84|91|76|91|102|"Wet"|"235994222"|"148138112"
76|91|102|200|200|200|"Moist"|"235994225"|"148138117"
0|0|0|61|76|91|"Moist"|"235994225"|"148138119"
61|76|91|76|91|102|"Wet"|"235994225"|"148138118"
0|0|0|15|15|61|"Moist"|"235994234"|"148138141"
61|91|107|200|200|200|"Moist"|"235994234"|"148138142"
15|15|61|61|91|107|"Wet"|"235994234"|"148138140"
0|0|0|15|15|61|"Moist"|"235994236"|"148138146"
61|91|107|200|200|200|"Moist"|"235994236"|"148138147"
15|15|61|61|91|107|"Wet"|"235994236"|"148138148"
61|91|107|200|200|200|"Moist"|"235994239"|"148138153"
0|0|0|15|15|61|"Moist"|"235994239"|"148138154"
15|15|61|61|91|107|"Wet"|"235994239"|"148138155"
61|91|107|200|200|200|"Moist"|"235994242"|"148138162"
0|0|0|15|46|91|"Moist"|"235994242"|"148138161"
15|46|91|61|91|107|"Wet"|"235994242"|"148138160"
0|0|0|46|76|91|"Moist"|"235994232"|"148138136"
61|91|107|200|200|200|"Moist"|"235994232"|"148138137"
46|76|91|61|91|107|"Wet"|"235994232"|"148138138"
0|0|0|46|76|107|"Moist"|"235994235"|"148138143"
61|91|107|200|200|200|"Moist"|"235994235"|"148138144"
46|76|107|61|91|107|"Wet"|"235994235"|"148138145"
0|0|0|200|200|200|"Moist"|"235994233"|"148138139"
0|0|0|200|200|200|"Moist"|"235994237"|"148138149"
0|0|0|200|200|200|"Moist"|"235994241"|"148138159"
61|91|107|200|200|200|"Moist"|"235994240"|"148138157"
0|0|0|46|76|107|"Moist"|"235994240"|"148138158"
46|76|107|61|91|107|"Wet"|"235994240"|"148138156"
61|91|107|200|200|200|"Moist"|"235994238"|"148138150"
0|0|0|46|76|91|"Moist"|"235994238"|"148138151"
46|76|91|61|91|107|"Wet"|"235994238"|"148138152"
0|0|0|15|46|91|"Moist"|"235994243"|"148138164"
61|91|107|200|200|200|"Moist"|"235994243"|"148138165"
15|46|91|61|91|107|"Wet"|"235994243"|"148138163"
0|0|0|122|137|152|"Moist"|"235994251"|"148138180"
122|137|152|203|203|203|"Wet"|"235994251"|"148138179"
0|0|0|203|203|203|"Moist"|"235994247"|"148138172"
0|0|0|203|203|203|"Moist"|"235994253"|"148138182"
0|0|0|203|203|203|"Moist"|"235994252"|"148138181"
0|0|0|122|137|152|"Moist"|"235994248"|"148138173"
122|137|152|203|203|203|"Wet"|"235994248"|"148138174"
0|0|0|61|76|91|"Moist"|"235994254"|"148138183"
61|76|91|203|203|203|"Wet"|"235994254"|"148138184"
0|0|0|15|18|30|"Moist"|"235994249"|"148138176"
15|18|30|203|203|203|"Wet"|"235994249"|"148138175"
0|0|0|0|5|15|"Moist"|"235994250"|"148138178"
0|5|15|203|203|203|"Wet"|"235994250"|"148138177"
0|0|0|0|5|15|"Moist"|"235994255"|"148138185"
0|5|15|203|203|203|"Wet"|"235994255"|"148138186"
0|0|0|0|10|15|"Moist"|"235994245"|"148138168"
0|10|15|203|203|203|"Wet"|"235994245"|"148138169"
0|0|0|0|5|15|"Moist"|"235994246"|"148138170"
0|5|15|203|203|203|"Wet"|"235994246"|"148138171"
0|0|0|61|76|91|"Moist"|"235994244"|"148138167"
