"2C"|2|"C"|||102|152|193|200|200|200||48||0|0|0|0|1|1|92|97|99|79|92|99|64|83|96|46|62|73|25|40|60|1|3|5|1|5|7|3|8|13|7|15|20|4|9|14|16|42|50|9|16|21|21|26|34|11|18|27|1|1|2|0.1|0.3|0.5||||1.73|1.76|1.78||||1.84|1.87|1.95||0.42|2.82|4.23|0.02|0.03|0.04||||20|27.6|30.3|6.7|13.7|19.7|26|30|32|0.8|1.7|3.3|21|29|37|6|11|18|0|5|11|".43"|".43"|2|30|31|0|0|0|0|0|0|0|0|2|8.1|15.1|19.7||||28.7|53.8|58.7|7.4|7.9|8.4||||||||||0|0.1|2|||||||||||||||||||||"22552794"|"66692488"
"Ap"||"A"|||0|0|0|25|30|43||30||0|0|0|0|0|0|100|100|100|96|100|100|91|96|100|82|86|93|10|17|20|0|1|5|1|2|4|1|4|4|3|5|11|2|5|9|46|55|63|12|19|28|31|36|48|27|28|35|0|0|0|2|3.5|5||||1.33|1.38|1.43||||1.5|1.55|1.62||4.23|9.17|14.11|0.2|0.2|0.26||||30.7|32.8|35.8|17|19.7|25.3|41|44|46|3.6|4|5.5|41|45|55|19|19|24|15|17|26|".24"|".24"|0|0|29|0|0|0|0|0|0|0|0|2|22.3|23.6|29.3||||19.5|21.9|68.3|5.6|6.5|7.3||||||||||3.1|6|9.6|||||||||||||||||||||"22552794"|"66692489"
"Btg1"||"B"||1|25|30|43|43|51|70||21||0|0|0|0|0|0|100|100|100|96|100|100|85|97|100|78|90|96|8|12|18|0|1|1|0|1|2|1|2|6|2|4|12|2|4|10|47|57|65|13|22|29|29|35|43|27|31|37|0|0|0|1|1.5|2||||1.27|1.33|1.39||||1.46|1.52|1.58||4.23|9.17|14.11|0.14|0.17|0.21||||27.6|31.9|34|12.7|18.2|22|43|46|48|3.6|4.5|5.8|39|44|51|19|22|26|10|21|28|".37"|".37"|0|0|41|0|0|0|0|0|0|0|0|2|21.7|25|29.7||||19.2|23.3|68.7|5.6|6.5|7.3||||||||||2.7|5.4|8.6|||||||||||||||||||||"22552794"|"66692490"
"2Cd"|2|"C"|||89|91|101|200|200|200|99|109|111|0|0|0|0|0|0|92|97|97|82|94|94|69|84|89|45|56|61|35|45|60|2|4|6|1|4|6|4|10|17|4|19|20|4|8|12|22|40|50|8|10|25|10|30|30|10|15|20|0|0|0|0|0.25|0.5||||1.74|1.82|1.89||||1.8|1.88|1.91||0.07|0.216|1.41|0.01|0.02|0.03||||20|25.8|28.8|6.3|10.9|14.8|24|29|32|0.6|1.1|1.6|21|26|31|6|9|13|0|2|5|".49"|".49"|20|33|45|0|0|0|0|0|0|0|0|2|5.1|7.9|10.6||||43.8|46.6|49.6|7.4|7.9|8.4||||||||||0|0|0.4|||||||||||||||||||||"22552795"|"66692491"
"Bt1"||"B"||1|8|20|25|28|33|45|11|13|18|0|0|0|0|0|0|95|98|99|86|96|98|79|92|98|68|80|89|5|20|20|0|1|2|0|2|4|2|5|6|4|7|10|2|5|7|45|53|66|10|17|40|20|36|45|24|27|35|0|0|0|0.5|0.75|1||||1.37|1.4|1.42||||1.48|1.51|1.57||4.23|9.17|14.11|0.16|0.18|0.2||||26.8|29.8|33|13|15.7|20.6|41|44|46|2.1|2.6|3.8|34|38|46|16|19|25|8|14|23|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|2|12.7|14.4|18.6||||7.4|11.9|18.5|5.1|5.9|7.3||||||||||1.1|5.7|9.1|||||||||||||||||||||"22552795"|"66692492"
"2Bt2"|2|"B"||2|28|33|45|49|79|85|20|46|57|0|0|0|0|1|5|91|98|99|80|95|97|71|88|95|55|69|75|15|31|40|1|2|4|1|3|5|2|7|10|4|12|15|2|7|10|25|38|54|8|16|25|10|22|30|27|31|35|0|0|0|0|0.25|0.5||||1.47|1.52|1.57||||1.62|1.67|1.71||4.23|9.17|14.11|0.07|0.14|0.21||||26.5|31.8|34|14.6|19.4|22.6|33|40|42|2.4|3.1|3.8|36|41|45|19|22|25|7|13|18|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|2|13.6|16.2|18.4||||7.8|13.6|18.3|5.1|5.5|7.3||||||||||1|6.9|8.7|||||||||||||||||||||"22552795"|"66692493"
"Ap"||"A"|||0|0|0|8|20|25|8|20|22|0|0|0|0|0|0|95|98|100|86|96|100|73|92|100|63|81|92|9.1|18|36.8|0|0.6|2|0|1.5|4|2|4.6|6|4|6.9|10|0|4.4|6|50|64|83|10|27|40|20|37|50|7|18|26.1|0|0|0|1|2|3||||1.42|1.44|1.47||||1.48|1.5|1.56||4.23|9.17|14.11|0.2|0.22|0.24||||19.1|27.7|32.3|5|12.8|18.9|39|42|44|0.4|1.4|2.6|20|32|42|3|12|18|0|8|18|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|2|3.8|9.8|14.2||||2.4|9.2|14.2|5.6|6.5|7.3||||||||||0|3.8|8|||||||||||||||||||||"22552795"|"66692494"
"2BCt"|2|"BC"|||49|79|85|89|91|101|5|12|20|0|0|0|0|1|4|91|97|98|80|91|95|67|84|90|48|61|67|35|38|55|1|2|4|1|4|6|2|10|14|4|13|20|3|9|12|25|40|50|8|17|25|10|23|30|15|22|25|0|0|0|0|0.25|0.5||||1.52|1.54|1.55||||1.61|1.63|1.66||1.41|2.82|4.23|0.07|0.12|0.17||||21.3|27.2|29.6|7.9|13.1|15.6|34|38|40|1|1.8|2.3|25|32|35|9|15|17|1|6|9|".43"|".43"|0|10|20|0|0|0|0|0|0|0|0|2|7.6|11.5|13.2||||6.8|50.2|52.2|6.6|7.4|7.8||||||||||0|0.4|3.2|||||||||||||||||||||"22552795"|"66692495"
"H3"||"H"||3||137|||178|||41||0|0|0|0|0|0|95|97.5|100|90|95|100|85|90|95|25|52.5|80||55|||2|||2|||14|||25|||12|||20||||||||18|25|33||||0.5|0.75|1||||1.4|1.55|1.7|||||1.78|||4.23|9.17|14.11|0.1|0.14|0.18|||||24.4|||16.8|||38||3|4.5|5.9|10|35|60|0|15|30|0|4|26|".24"|".24"|0|15|30|0|0|0|0|0|0|0|0|0|9|15.5|22||||5|13|20|6.1|7|7.8||||||||||0|2.7|6|||||||||||||||||||||"22552764"|"66692400"
"H4"||"H"||4||178|||203|||25||0|0|0|0|0|0|90|95|100|75|87.5|100|55|77.5|100|25|57.5|90||50|||2|||2|||12|||22|||12|||28||||||||15|22|30||||0.5|0.75|1||||1.5|1.6|1.7|||||1.68|||4.23|9.17|14.11|0.08|0.12|0.15|||||22.3|||14.6|||34||0|1.5|2.9|10|30|50|0|12.5|25|0|4|25|".28"|".28"|5|18|30|0|0|0|0|0|0|0|0|0|7|13.5|20||||6|12|18|7.4|7.9|8.4||||||||||0|0|2.2|||||||||||||||||||||"22552764"|"66692401"
